intent,category,question,answer,source
info_generale,institution,Qu’est-ce que CitizenLab Sénégal ?,CitizenLab Sénégal est un hub d’innovation civique porté par AfricTivistes visant à renforcer la participation citoyenne et l’innovation numérique.,FAQ officielle
info_generale,institution,Quel est le rôle de CitizenLab Sénégal ?,CitizenLab Sénégal agit comme un espace de formation de co-création et d’expérimentation de solutions numériques citoyennes.,Présentation institutionnelle
institution,institution,Quel est le lien entre CitizenLab Sénégal et AfricTivistes ?,CitizenLab Sénégal est un programme stratégique mis en œuvre par AfricTivistes organisation panafricaine de la société civile.,FAQ officielle
gouvernance,institution,CitizenLab Sénégal est-il indépendant ?,Oui CitizenLab Sénégal est indépendant dans ses actions et non partisan.,Document institutionnel
gouvernance,institution,CitizenLab Sénégal est-il politiquement neutre ?,Oui CitizenLab Sénégal est strictement politiquement neutre.,FAQ officielle
mission,institution,Quelle est la mission principale de CitizenLab Sénégal ?,Renforcer la participation citoyenne par l’usage des technologies numériques et de l’innovation civique.,Présentation officielle
vision,institution,Quelle est la vision de CitizenLab Sénégal ?,Construire un écosystème numérique citoyen inclusif participatif et durable.,Présentation officielle
valeurs,institution,Quelles sont les valeurs fondatrices de CitizenLab Sénégal ?,Citoyenneté inclusion transparence innovation collaboration et responsabilité sociale.,Document institutionnel
zones,strategie,Où opère CitizenLab Sénégal ?,CitizenLab Sénégal intervient à Dakar et dans plusieurs régions du Sénégal y compris les zones rurales.,FAQ officielle
zones,strategie,CitizenLab Sénégal intervient-il hors de Dakar ?,Oui des activités sont menées dans les régions et communautés locales.,Plan d’activités
publics,strategie,Qui sont les bénéficiaires de CitizenLab Sénégal ?,Jeunes femmes organisations citoyennes journalistes développeurs et citoyens engagés.,Présentation officielle
publics,strategie,CitizenLab Sénégal cible-t-il les femmes ?,Oui l’inclusion des femmes est un axe transversal prioritaire.,Document institutionnel
publics,strategie,CitizenLab Sénégal cible-t-il les jeunes ?,Oui les jeunes sont au cœur des programmes de formation et d’innovation.,Plan d’activités
strategie,strategie,Quels problèmes CitizenLab Sénégal cherche-t-il à résoudre ?,La fracture numérique le manque d’accès à l’information publique et la faible participation citoyenne.,Présentation officielle
strategie,strategie,Quelle est l’approche stratégique de CitizenLab ?,Une approche participative basée sur le co-design et l’innovation ouverte.,Document institutionnel
formation,formation,Quels types de formations propose CitizenLab ?,Citoyenneté numérique data science intelligence artificielle développement web cybersécurité.,Plan d’activités
formation,formation,Les formations sont-elles pratiques ?,Oui les formations sont orientées vers la pratique et les cas réels.,Plan d’activités
formation,formation,Faut-il payer pour participer aux formations ?,La majorité des formations sont gratuites pour les participants sélectionnés.,FAQ officielle
formation,formation,Comment sont sélectionnés les participants ?,Sur la base de la motivation de l’engagement et de l’impact potentiel.,Plan d’activités
formation,formation,Faut-il être développeur pour rejoindre CitizenLab ?,Non CitizenLab accueille des profils techniques et non techniques.,FAQ officielle
formation,formation,CitizenLab organise-t-il des hackathons ?,Oui des hackathons sont organisés pour co-créer des solutions citoyennes.,Plan d’activités
innovation,innovation,Quel type de projets sont développés ?,Des projets de civic-tech open data participation citoyenne et gouvernance numérique.,Présentation officielle
innovation,innovation,CitizenLab développe-t-il des plateformes numériques ?,Oui CitizenLab conçoit et expérimente des plateformes citoyennes.,FAQ officielle
open_data,innovation,Pourquoi CitizenLab travaille sur l’open data ?,Pour renforcer la transparence et l’accès à l’information publique.,FAQ officielle
digitalisation,innovation,CitizenLab agit-il sur la digitalisation administrative ?,Oui CitizenLab soutient la dématérialisation des services publics.,Présentation officielle
ia,technologie,CitizenLab utilise-t-il l’intelligence artificielle ?,Oui pour l’analyse de données les chatbots et les outils citoyens.,FAQ officielle
ia,ethique,CitizenLab promeut-il une IA responsable ?,Oui une IA éthique transparente et centrée sur l’humain.,Document institutionnel
chatbot,technologie,Pourquoi créer un chatbot CitizenLab ?,Pour informer orienter et accompagner les citoyens de manière continue.,Conception chatbot
chatbot,fonctionnement,Le chatbot est-il disponible en continu ?,Oui le chatbot est disponible 24h sur 24.,FAQ officielle
chatbot,fonctionnement,Le chatbot remplace-t-il l’équipe humaine ?,Non il complète le travail de l’équipe.,FAQ officielle
chatbot,ethique,Le chatbot collecte-t-il des données personnelles ?,Seulement avec consentement et dans le respect des règles de protection des données.,Document institutionnel
chatbot,fonctionnement,Que faire si le chatbot ne comprend pas une question ?,Il redirige vers un contact humain ou un formulaire.,Conception chatbot
equipe,equipe,Comment est structurée l’équipe CitizenLab Sénégal ?,Une équipe pluridisciplinaire combinant technologie data communication et innovation civique.,Présentation équipe
equipe,equipe,Pourquoi une équipe pluridisciplinaire ?,Pour répondre efficacement aux défis complexes de la citoyenneté numérique.,Document institutionnel
competences,equipe,Quelles compétences clés possède l’équipe ?,Data science IA développement web cybersécurité UX UI gestion de projet.,Présentation équipe
impact,impact,Comment CitizenLab Sénégal mesure-t-il son impact ?,À travers des indicateurs de participation de formation d’utilisation des outils et de changements communautaires.,Plan d’activités
impact,impact,Quels types d’impacts CitizenLab recherche-t-il ?,Impact social démocratique éducatif et technologique.,Présentation institutionnelle
impact,impact,CitizenLab vise-t-il un impact à long terme ?,Oui les actions sont pensées pour être durables et reproductibles.,Document stratégique
partenariats,partenariats,CitizenLab travaille-t-il avec des partenaires ?,Oui avec des ONG des institutions publiques des universités et des communautés tech.,FAQ officielle
partenariats,partenariats,CitizenLab collabore-t-il avec l’État ?,Oui tout en conservant son indépendance et sa neutralité.,Présentation officielle
partenariats,partenariats,Quels types de partenaires techniques ?,Communautés tech universités hubs d’innovation et experts indépendants.,Plan d’activités
partenariats,partenariats,CitizenLab est-il ouvert aux partenariats internationaux ?,Oui selon les opportunités et les financements disponibles.,Document institutionnel
inclusion,inclusion,Pourquoi l’inclusion numérique est-elle centrale ?,Parce que l’exclusion numérique renforce les inégalités sociales.,Présentation officielle
inclusion,inclusion,Comment CitizenLab favorise l’inclusion numérique ?,Par la formation l’accessibilité territoriale et l’adaptation des contenus.,Plan d’activités
inclusion,inclusion,CitizenLab agit-il pour les zones rurales ?,Oui les zones rurales sont une priorité stratégique.,FAQ officielle
inclusion,inclusion,CitizenLab prend-il en compte le genre ?,Oui l’égalité de genre est intégrée dans tous les programmes.,Document institutionnel
accessibilite,inclusion,CitizenLab intègre-t-il l’accessibilité numérique ?,Oui pour les personnes en situation de handicap.,Plan d’activités
langues,inclusion,CitizenLab propose-t-il des contenus multilingues ?,Oui progressivement en français anglais et langues locales.,FAQ officielle
education,formation,Quelle est l’approche pédagogique de CitizenLab ?,Une pédagogie participative basée sur la pratique et le co-apprentissage.,Plan d’activités
education,formation,Les formations incluent-elles des projets concrets ?,Oui chaque formation mène à des prototypes ou solutions.,Plan d’activités
education,formation,CitizenLab propose-t-il du mentorat ?,Oui un accompagnement est prévu pendant et après les formations.,FAQ officielle
post_formation,formation,Y a-t-il un suivi après les formations ?,Oui un suivi post-formation est assuré.,Document institutionnel
entrepreneuriat,innovation,CitizenLab soutient-il l’entrepreneuriat citoyen ?,Oui pour les projets à impact social.,Présentation officielle
recherche,recherche,CitizenLab mène-t-il des activités de recherche ?,Oui en recherche appliquée sur le numérique citoyen.,Présentation institutionnelle
recherche,recherche,Quels sujets de recherche sont explorés ?,IA citoyenne open data gouvernance numérique désinformation.,Document stratégique
desinformation,innovation,CitizenLab lutte-t-il contre la désinformation ?,Oui via la formation la sensibilisation et les outils numériques.,FAQ officielle
open_source,technologie,CitizenLab développe-t-il des outils open source ?,Oui lorsque cela est possible.,FAQ officielle
souverainete,technologie,CitizenLab travaille-t-il sur la souveraineté numérique ?,Oui à travers la promotion de solutions locales.,Document institutionnel
donnees,ethique,Comment CitizenLab protège-t-il les données ?,Par des pratiques de cybersécurité et de gouvernance des données.,Document stratégique
cybersecurite,technologie,Pourquoi la cybersécurité est-elle importante ?,Pour protéger les citoyens et les institutions.,Présentation officielle
cybersecurite,technologie,CitizenLab forme-t-il à la cybersécurité ?,Oui dans le cadre de ses programmes.,Plan d’activités
plateforme,technologie,À quoi sert la plateforme CitizenLab ?,Informer signaler suivre les projets et proposer des solutions.,Présentation officielle
plateforme,technologie,La plateforme est-elle ouverte au public ?,Oui selon les fonctionnalités disponibles.,FAQ officielle
participation,participation,Comment CitizenLab renforce la participation citoyenne ?,En donnant des outils numériques d’expression et de suivi.,Présentation officielle
participation,participation,Les citoyens peuvent-ils proposer des idées ?,Oui via les plateformes et ateliers participatifs.,Plan d’activités
collectivites,partenariats,CitizenLab travaille-t-il avec les collectivités locales ?,Oui pour renforcer la gouvernance locale.,FAQ officielle
collectivites,partenariats,Quel est l’objectif avec les collectivités ?,Améliorer les services publics et la transparence.,Document institutionnel
durabilite,durabilite,Comment CitizenLab assure la durabilité des projets ?,Par la formation locale et l’appropriation communautaire.,Plan d’activités
durabilite,durabilite,Les projets sont-ils transférables ?,Oui ils sont pensés pour être réplicables.,Document stratégique
ethique,ethique,Quelles sont les règles éthiques de CitizenLab ?,Neutralité transparence protection des données et inclusion.,Document institutionnel
juridique,ethique,Le chatbot fournit-il des conseils juridiques ?,Non il fournit uniquement des informations générales.,FAQ officielle
chatbot,fonctionnement,Le chatbot peut-il évoluer ?,Oui il est amélioré en continu.,Conception chatbot
chatbot,fonctionnement,Le chatbot peut-il être multilingue ?,Oui progressivement.,Conception chatbot
chatbot,usage,À qui s’adresse le chatbot ?,Aux citoyens partenaires chercheurs et bénéficiaires.,Conception chatbot
chatbot,usage,Le chatbot est-il utilisé pour l’orientation ?,Oui pour guider vers les programmes et ressources.,Conception chatbot
equipe,organisation,Comment est structurée l’équipe CitizenLab Sénégal ?,CitizenLab Sénégal dispose d’une équipe pluridisciplinaire combinant compétences techniques sociales et organisationnelles.,Présentation institutionnelle
equipe,organisation,Pourquoi une équipe pluridisciplinaire est-elle importante ?,Elle permetpush de répondre à des défis complexes avec des solutions complètes et adaptées.,Document stratégique
leadership,organisation,Quel est le rôle du leadership dans CitizenLab ?,Orienter la vision coordonner les actions et garantir l’impact social.,Présentation officielle
coordination,organisation,Comment la coordination des équipes est-elle assurée ?,Par une gestion de projet agile et des outils collaboratifs.,Plan d’activités
competences,equipe,Quelles compétences clés composent l’équipe ?,IA data développement cybersécurité communication et gestion de projets.,FAQ officielle
formation,equipe,L’équipe CitizenLab est-elle impliquée dans la formation ?,Oui tous les membres contribuent au transfert de compétences.,Plan d’activités
recherche,equipe,L’équipe participe-t-elle à la recherche ?,Oui dans le cadre de projets de recherche appliquée.,Document institutionnel
innovation,equipe,L’équipe est-elle orientée innovation ?,Oui l’innovation sociale et technologique est centrale.,Présentation officielle
equipe,profil,Qui coordonne CitizenLab Sénégal ?,La coordination est assurée par une équipe dirigeante expérimentée.,Présentation institutionnelle
profil,personne,Qui est Penda Fall ?,Penda Fall est la coordinatrice de CitizenLab Sénégal experte en cybersécurité IoT et innovation sociale.,PDF équipe
competences,personne,Quelles sont les compétences de Penda Fall ?,Cybersécurité systèmes d’information IoT leadership et inclusion numérique.,PDF équipe
vision,personne,Quelle est la vision de Penda Fall ?,Utiliser la technologie pour l’autonomisation des communautés.,Présentation équipe
profil,personne,Qui est Thierno Bocar Dieng ?,Thierno Bocar Dieng est data scientist AI developer et entrepreneur technologique.,PDF équipe
competences,personne,Quelles sont les compétences de Thierno Bocar Dieng ?,Data science intelligence artificielle NLP automatisation et innovation.,PDF équipe
role,personne,Quel est le rôle de Thierno Bocar Dieng ?,Concevoir et développer des solutions IA à impact citoyen.,Présentation équipe
profil,personne,Qui est Paule Marcelle Elanga ?,Paule Marcelle Elanga est data scientist spécialisée en IA et machine learning.,PDF équipe
competences,personne,Quelles sont les compétences de Paule Marcelle Elanga ?,Machine learning NLP computer vision analyse de données et formation.,PDF équipe
engagement,personne,Quel est son engagement ?,Promouvoir l’égalité des chances dans les métiers de l’IA.,Présentation équipe
profil,personne,Qui est Mouhamadou Mballo ?,Mouhamadou Mballo est architecte logiciel et développeur full-stack.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Architecture logicielle systèmes distribués gouvernance des données.,PDF équipe
philosophie,personne,Quelle est sa philosophie ?,Construire des plateformes durables centrées sur l’utilisateur.,Présentation équipe
profil,personne,Qui est Ndèye Kany Cissé ?,Ndèye Kany Cissé est développeuse web mobile et designer graphique.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Développement front-end mobile UX UI design SEO.,PDF équipe
role,personne,Quel est son rôle dans CitizenLab ?,Concevoir des interfaces accessibles et performantes.,Présentation équipe
profil,personne,Qui est Khadidiatou Thioune ?,Khadidiatou Thioune est spécialiste en communication et gestion d’événements.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Communication digitale marketing événementiel relations publiques.,PDF équipe
role,personne,Quel est son rôle ?,Assurer la visibilité et la mobilisation communautaire.,Présentation équipe
profil,personne,Qui est Mamadou Diop ?,Mamadou Diop est référent digital et créateur de contenus.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Stratégie digitale design graphique production multimédia.,PDF équipe
role,personne,Quel est son rôle ?,Amplifier l’impact des actions CitizenLab.,Présentation équipe
profil,personne,Qui est Fatou Dieng ?,Fatou Dieng est data analyst et data scientist.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Analyse de données visualisation data machine learning.,PDF équipe
vision,personne,Quelle est sa vision ?,Utiliser la donnée pour un développement inclusif.,Présentation équipe
profil,personne,Qui est Awa Diouf ?,Awa Diouf est étudiante en robotique passionnée d’IA et IoT.,PDF équipe
competences,personne,Quelles sont ses compétences ?,Robotique systèmes embarqués IoT développement web.,PDF équipe
role,personne,Quel est son rôle ?,Contribution aux projets techniques et formations.,Présentation équipe
collaboration,equipe,Comment l’équipe travaille-t-elle ensemble ?,Par la collaboration interdisciplinaire et le co-design.,Document stratégique
ethique,equipe,Quelles valeurs guident l’équipe ?,Éthique inclusion transparence collaboration.,Document institutionnel
credibilite,equipe,Pourquoi l’équipe est-elle crédible institutionnellement ?,Grâce à son expertise ses partenariats et son ancrage local.,Présentation officielle
formation,equipe,L’équipe peut-elle former d’autres organisations ?,Oui elle dispose d’une forte capacité de formation.,FAQ officielle
international,equipe,L’équipe peut-elle intervenir à l’international ?,Oui selon les projets et partenariats.,Document institutionnel
