chunk_id,category,subcategory,actor_name,description,role,contribution,target_objectives,budget_share,keywords,metadata
act_pub_001,Acteurs Publics,Digitalisation,Sénégal Numérique (ex-ADIE),"Organisme bras technique de l'État pour la digitalisation des services publics","Pallier le manque de plateformes citoyennes interactives et la faible adoption des outils numériques locaux","Rendre l'administration plus transparente et accessible, répondre à l'exigence citoyenne de redevabilité","","","digitalisation,services publics,transparence,plateformes citoyennes,ADIE","{""type"":""public"",""sector"":""administration"",""priority"":""high""}"
act_pub_002,Acteurs Publics,Politique Numérique,Ministère de la Communication des Télécommunications et du Numérique,"Ministère définissant les politiques nationales pour l'accessibilité et l'adoption des technologies","Réduire l'accès inégal aux outils numériques en milieu rural","Définir les politiques d'accessibilité numérique","Sensibiliser 50000 citoyens ruraux au numérique d'ici 2026","","politique,télécommunications,rural,accessibilité,ministère","{""type"":""public"",""sector"":""politique"",""geographic"":""rural""}"
act_pub_003,Acteurs Publics,Protection des Données,CDP - Commission de la Protection des Données Personnelles,"Institution garante de la confiance numérique","Assurer que la transparence ne se fait pas au détriment de la vie privée","Protection des données personnelles et confiance numérique","","","protection données,vie privée,confiance numérique,sécurité,RGPD","{""type"":""public"",""sector"":""régulation"",""focus"":""privacy""}"
act_pub_004,Acteurs Publics,Éducation,Ministère de l'Enseignement Supérieur & Force N,"Structures répondant au besoin urgent de formations adaptées","Combler le manque de compétences et de culture numérique","Déployer une éducation numérique inclusive via écoles numériques et unités mobiles","","","enseignement,formation,éducation numérique,compétences,Force N","{""type"":""public"",""sector"":""education"",""priority"":""high""}"
act_pub_005,Acteurs Publics,Inclusion Économique,DER/FJ & ANPEJ,"Structures se concentrant sur l'inclusion économique des jeunes","Mobiliser les jeunes pour qu'ils deviennent des entrepreneurs civiques","Soutenir l'innovation et l'entrepreneuriat jeunesse","Former 3000 jeunes et femmes d'ici 2026","","jeunesse,entrepreneuriat,inclusion économique,DER,ANPEJ","{""type"":""public"",""sector"":""emploi"",""target"":""3000"",""deadline"":""2026""}"
act_pub_006,Acteurs Publics,Financement Formation,3FPT - Fonds de Financement de la Formation Professionnelle et Technique,"Fonds finançant le renforcement des capacités techniques","Soutenir l'axe Formation et Sensibilisation","Financer bootcamps et fablabs citoyens pour l'innovation ouverte","","30% du budget global de développement des compétences","formation professionnelle,financement,bootcamp,fablab,3FPT","{""type"":""public"",""sector"":""financement"",""budget_share"":""30%""}"
act_priv_001,Acteurs Privés,Télécommunications,Orange (Sonatel),"Leader du marché des télécommunications au Sénégal","Fournir la connectivité nécessaire au déploiement des unités mobiles","Connectivité mobile et internet","","","Orange,Sonatel,télécommunications,connectivité,leader","{""type"":""privé"",""sector"":""telecom"",""position"":""leader""}"
act_priv_002,Acteurs Privés,Télécommunications,Expresso,"Opérateur télécom majeur au Sénégal","Contribuer à la réduction de la fracture numérique persistante","Offrir des alternatives d'accès à Internet","","","Expresso,télécommunications,internet,fracture numérique","{""type"":""privé"",""sector"":""telecom""}"
act_priv_003,Acteurs Privés,Télécommunications,Yas,"Nouvel acteur MVNO (opérateur mobile virtuel)","Participer à la diversification de l'offre mobile","Diversifier l'offre mobile pour atteindre les zones rurales","Atteindre 50000 citoyens ruraux","","Yas,MVNO,mobile,rural,diversification","{""type"":""privé"",""sector"":""telecom"",""status"":""nouveau"",""target"":""50000""}"
act_priv_004,Acteurs Privés,Télécommunications,ProMobile,"Opérateur virtuel local","Jouer un rôle dans l'inclusion numérique","Proposer des services adaptés aux réalités nationales","","","ProMobile,MVNO,inclusion numérique,local","{""type"":""privé"",""sector"":""telecom"",""focus"":""inclusion""}"
act_priv_005,Acteurs Privés,Formation & Innovation,Orange Digital Center (ODC),"Écosystème dédié à l'innovation numérique","Accueillir des événements d'innovation","Héberger hackathons, fablabs et bootcamps","","","Orange Digital Center,ODC,innovation,hackathon,fablab,bootcamp","{""type"":""privé"",""sector"":""innovation"",""infrastructure"":""oui""}"
act_priv_006,Acteurs Privés,Formation & Innovation,Simplon,"École spécialisée dans les formations intensives aux métiers du numérique","Lutter contre le manque de compétences et de culture numérique","Formations intensives en développement et numérique","","","Simplon,formation,développement,code,métiers numérique","{""type"":""privé"",""sector"":""formation"",""speciality"":""code""}"
act_priv_007,Acteurs Privés,Formation & Innovation,Xaraala Academy,"Plateforme locale de formation en ligne axée sur les technologies","Répondre au besoin de formations adaptées au contexte sénégalais","Formations en ligne sur les technologies","","","Xaraala,formation en ligne,local,technologies","{""type"":""privé"",""sector"":""formation"",""format"":""en ligne""}"
act_priv_008,Acteurs Privés,Formation & Innovation,XaaleyTech,"Initiative focalisée sur l'apprentissage du code pour les enfants","Mobiliser le potentiel jeunesse dès le plus jeune âge","Apprentissage du code pour enfants","","","XaaleyTech,code,enfants,jeunesse,éducation","{""type"":""privé"",""sector"":""formation"",""target"":""enfants""}"
act_priv_009,Acteurs Privés,Formation & Innovation,GomyCode,"Centre de formation technologique","Combler le déficit de compétences par des cursus pratiques et certifiants","Formations pratiques et certifications en tech","","","GomyCode,formation,certification,pratique,tech","{""type"":""privé"",""sector"":""formation"",""certification"":""oui""}"
act_priv_010,Acteurs Privés,Solutions Tech,NeuroTech,"Entreprise spécialisée dans les solutions IT et la cybersécurité","Accompagner le développement des solutions technologiques de transparence","Développement de solutions IT et cybersécurité","Développer 5 solutions technologiques de transparence","","NeuroTech,IT,cybersécurité,solutions,transparence","{""type"":""privé"",""sector"":""tech"",""speciality"":""cybersécurité"",""target"":""5 solutions""}"
act_priv_011,Acteurs Privés,Solutions Tech,Baamtu,"Expert en Intelligence Artificielle et traitement de données","Utiliser l'IA pour renforcer l'engagement citoyen","IA et traitement de données pour civic tech","","","Baamtu,IA,intelligence artificielle,données,engagement citoyen","{""type"":""privé"",""sector"":""tech"",""speciality"":""IA""}"
act_priv_012,Acteurs Privés,Solutions Tech,Atos,"Prestataire de services numériques international","Soutenir la digitalisation des services publics","Services numériques pour l'administration","","","Atos,services numériques,international,digitalisation,services publics","{""type"":""privé"",""sector"":""tech"",""scope"":""international""}"
act_priv_013,Acteurs Privés,Plateformes Digitales,Meta,"Fournisseur des plateformes sociales (Facebook, WhatsApp, Instagram)","Diffuser les campagnes de sensibilisation et médias citoyens","Plateformes pour campagnes, podcasts et médias citoyens","","","Meta,Facebook,WhatsApp,Instagram,réseaux sociaux,sensibilisation","{""type"":""privé"",""sector"":""plateformes"",""scope"":""global""}"
act_priv_014,Acteurs Privés,FinTech,Wave,"Acteur de la monnaie électronique","Révolutionner l'inclusion financière comme levier pour la citoyenneté active","Mobile money et inclusion financière","","","Wave,mobile money,fintech,inclusion financière,paiement","{""type"":""privé"",""sector"":""fintech"",""innovation"":""mobile money""}"
act_priv_015,Acteurs Privés,FinTech,PayTech,"Solution de paiement locale","Faciliter l'intégration du e-commerce et des services numériques","Paiements numériques locaux","","","PayTech,paiement,e-commerce,local,services numériques","{""type"":""privé"",""sector"":""fintech"",""focus"":""e-commerce""}"
act_priv_016,Acteurs Privés,FinTech,Paydunya,"Plateforme de paiement et de collecte de fonds","Assurer la viabilité économique des solutions civic tech","Paiement et collecte de fonds pour civic tech","","","Paydunya,paiement,collecte,financement,civic tech,transparence financière","{""type"":""privé"",""sector"":""fintech"",""focus"":""collecte""}"
act_soc_001,Acteurs Sociaux,ONG Internationales,PNUD,"Programme des Nations Unies pour le Développement","Fournir le soutien stratégique et financier","Financement et appui stratégique pour la transformation sociale","","25% du financement global","PNUD,ONU,financement,développement,international","{""type"":""social"",""scope"":""international"",""budget_share"":""25%""}"
act_soc_002,Acteurs Sociaux,ONG Internationales,UNICEF,"Fonds des Nations Unies pour l'Enfance","Soutien aux initiatives d'éducation et d'inclusion jeunesse","Financement de projets éducatifs et numériques","","25% du financement global","UNICEF,ONU,enfance,éducation,jeunesse","{""type"":""social"",""scope"":""international"",""budget_share"":""25%""}"
act_soc_003,Acteurs Sociaux,ONG Internationales,ONU,"Organisation des Nations Unies","Coordination et soutien stratégique global","Appui institutionnel et coordination","","25% du financement global","ONU,Nations Unies,coordination,international","{""type"":""social"",""scope"":""international"",""budget_share"":""25%""}"
act_soc_004,Acteurs Sociaux,Coopération,GIZ,"Agence de coopération allemande","Appui technique et financier aux initiatives de transformation","Coopération technique et financement","","25% du financement global","GIZ,Allemagne,coopération,technique,financement","{""type"":""social"",""scope"":""international"",""country"":""Allemagne"",""budget_share"":""25%""}"
act_soc_005,Acteurs Sociaux,Coopération,Enabel,"Agence belge de développement","Soutien aux projets de développement numérique","Coopération et financement de projets","","25% du financement global","Enabel,Belgique,coopération,développement","{""type"":""social"",""scope"":""international"",""country"":""Belgique"",""budget_share"":""25%""}"
act_soc_006,Acteurs Sociaux,Coopération,OIM,"Organisation Internationale pour les Migrations","Soutien aux initiatives d'inclusion sociale","Appui aux projets d'inclusion","","25% du financement global","OIM,migrations,inclusion,international","{""type"":""social"",""scope"":""international"",""budget_share"":""25%""}"
act_soc_007,Acteurs Sociaux,Coopération,GGGI,"Global Green Growth Institute","Soutien aux initiatives de développement durable","Financement et expertise en développement vert","","25% du financement global","GGGI,développement durable,environnement,croissance verte","{""type"":""social"",""scope"":""international"",""focus"":""environnement"",""budget_share"":""25%""}"
act_soc_008,Acteurs Sociaux,Gouvernance,OSIWA,"Open Society Initiative for West Africa","Spécialiste de la gouvernance ouverte et du plaidoyer","Plaidoyer pour la redevabilité et la transparence","Produire 1 rapport citoyen par trimestre","","OSIWA,gouvernance ouverte,plaidoyer,redevabilité,transparence","{""type"":""social"",""focus"":""gouvernance"",""frequency"":""trimestriel""}"
act_soc_009,Acteurs Sociaux,Gouvernance,ONG 3D,"Organisation spécialisée en gouvernance","Travail sur la gouvernance ouverte et la redevabilité","Renforcer la transparence des institutions","Produire 1 rapport citoyen par trimestre","","ONG 3D,gouvernance,transparence,institutions,rapport citoyen","{""type"":""social"",""focus"":""gouvernance"",""frequency"":""trimestriel""}"
act_soc_010,Acteurs Sociaux,Jeunesse & Formation,ONG Jeunesse et Développement,"ONG focalisée sur l'éducation et l'insertion professionnelle","Lutter contre le manque de compétences et de culture numérique","Formation et insertion professionnelle des jeunes","Former 3000 jeunes et femmes d'ici 2026","","jeunesse,développement,formation,insertion professionnelle","{""type"":""social"",""target"":""jeunes"",""objective"":""3000"",""deadline"":""2026""}"
act_soc_011,Acteurs Sociaux,Jeunesse & Formation,ONFP,"Office National de la Formation Professionnelle","Formation professionnelle et insertion","Développer les compétences professionnelles","Former 3000 jeunes et femmes d'ici 2026","","ONFP,formation professionnelle,compétences,insertion","{""type"":""social"",""sector"":""formation"",""objective"":""3000"",""deadline"":""2026""}"
act_soc_012,Acteurs Sociaux,Innovation Sociale,Challenge Hub,"Incubateur pour l'innovation sociale","Accueillir des activités d'innovation et d'entrepreneuriat","Héberger hackathons, fablabs et bootcamps","","40% du budget (Innovation et Transparence)","Challenge Hub,incubateur,innovation sociale,hackathon,fablab,bootcamp","{""type"":""social"",""focus"":""innovation"",""budget_share"":""40%""}"
act_soc_013,Acteurs Sociaux,Innovation Sociale,GPES,"Incubateur et accélérateur de startups","Servir d'incubateur pour l'innovation sociale","Accompagner les projets innovants","","40% du budget (Innovation et Transparence)","GPES,incubateur,startups,innovation,accompagnement","{""type"":""social"",""focus"":""innovation"",""budget_share"":""40%""}"
act_soc_014,Acteurs Sociaux,Communautés Tech,Galsen AI,"Communauté d'expertise en Intelligence Artificielle","Mobiliser l'expertise locale en IA","Concevoir des solutions technologiques de transparence","Développer 5 solutions technologiques","40% du budget (Innovation et Transparence)","Galsen AI,IA,intelligence artificielle,communauté tech,solutions","{""type"":""social"",""speciality"":""IA"",""objective"":""5 solutions"",""budget_share"":""40%""}"
act_soc_015,Acteurs Sociaux,Communautés Tech,AI Hub,"Hub de compétences en Intelligence Artificielle","Rassembler les experts IA locaux","Développer des solutions basées sur l'IA","Développer 5 solutions technologiques","40% du budget (Innovation et Transparence)","AI Hub,IA,expertise,hub,innovation","{""type"":""social"",""speciality"":""IA"",""objective"":""5 solutions"",""budget_share"":""40%""}"
act_soc_016,Acteurs Sociaux,Communautés Tech,WIMLDS,"Women in Machine Learning & Data Science","Communauté de femmes en IA et data science","Promouvoir l'inclusion des femmes dans la tech","Développer 5 solutions technologiques","40% du budget (Innovation et Transparence)","WIMLDS,femmes,IA,data science,inclusion,diversité","{""type"":""social"",""speciality"":""IA"",""target"":""femmes"",""objective"":""5 solutions"",""budget_share"":""40%""}"
act_soc_017,Acteurs Sociaux,Communautés Tech,IndabaX SN,"Chapitre sénégalais de Deep Learning Indaba","Communauté d'expertise en deep learning","Développer des solutions d'IA pour la transparence","Développer 5 solutions technologiques","40% du budget (Innovation et Transparence)","IndabaX,deep learning,IA,machine learning,Sénégal","{""type"":""social"",""speciality"":""deep learning"",""objective"":""5 solutions"",""budget_share"":""40%""}"
act_soc_018,Acteurs Sociaux,Communautés Tech,Galsen Dev,"Réseau de développeurs sénégalais","Réduire la faible adoption des outils numériques locaux","Créer des plateformes citoyennes et applications mobiles","","","Galsen Dev,développeurs,tech,communauté,plateformes","{""type"":""social"",""speciality"":""développement"",""focus"":""local""}"
act_soc_019,Acteurs Sociaux,Communautés Tech,SenStartUp,"Écosystème des startups sénégalaises","Soutenir l'entrepreneuriat technologique local","Développer des solutions numériques locales","","","SenStartUp,startups,entrepreneuriat,tech,écosystème","{""type"":""social"",""focus"":""entrepreneuriat""}"
act_soc_020,Acteurs Sociaux,Communautés Tech,OPTIC,"Organisation des professionnels des TIC","Représenter les professionnels des technologies","Structurer l'écosystème tech sénégalais","","","OPTIC,TIC,professionnels,organisation,tech","{""type"":""social"",""sector"":""TIC"",""role"":""représentation""}"
act_soc_021,Acteurs Sociaux,Communautés Tech,WSIGAD,"Women in Software and ICT Gambia and Dakar","Réseau de femmes dans la tech (Gambie et Dakar)","Promouvoir l'inclusion des femmes dans les TIC","","","WSIGAD,femmes,tech,TIC,inclusion,Gambie,Dakar","{""type"":""social"",""target"":""femmes"",""geographic"":""Gambie-Dakar""}"
act_soc_022,Acteurs Sociaux,Communautés Tech,Big Sister Africa,"Organisation pour l'inclusion numérique des femmes","Réduire la double fracture numérique pour les femmes","Outiller les femmes pour devenir des actrices du changement numérique","","","Big Sister Africa,femmes,inclusion numérique,formation,empowerment","{""type"":""social"",""target"":""femmes"",""focus"":""inclusion"",""priority"":""high""}"
act_soc_023,Acteurs Sociaux,Droits de l'Homme,Amnesty International Sénégal,"Organisation de défense des droits humains","Veiller au respect des droits fondamentaux dans l'espace numérique","Surveillance de l'action publique et promotion de la gouvernance ouverte","","","Amnesty,droits humains,surveillance,gouvernance,protection","{""type"":""social"",""focus"":""droits humains"",""scope"":""international""}"
act_soc_024,Acteurs Sociaux,Droits de l'Homme,RADDHO,"Rencontre Africaine pour la Défense des Droits de l'Homme","Défendre les droits de l'homme et surveiller l'action publique","Promouvoir une gouvernance ouverte et inclusive","","","RADDHO,droits humains,défense,surveillance,gouvernance","{""type"":""social"",""focus"":""droits humains"",""scope"":""africain""}"
act_soc_025,Acteurs Sociaux,Droits de l'Homme,CNDH,"Commission Nationale des Droits de l'Homme","Protection des droits fondamentaux","Veiller au respect des droits dans le numérique","","","CNDH,droits humains,commission,protection,national","{""type"":""social"",""focus"":""droits humains"",""scope"":""national""}"
act_soc_026,Acteurs Sociaux,Droits de l'Homme,CAJUST,"Centre Africain pour la Justice et les Études de la Paix","Promouvoir la justice et la paix","Surveillance des droits dans l'espace numérique","","","CAJUST,justice,paix,droits,surveillance","{""type"":""social"",""focus"":""justice"",""scope"":""africain""}"
act_soc_027,Acteurs Sociaux,Engagement Communautaire,CICODEV Africa,"Centre d'Information et de Communication pour le Développement","Sensibilisation au niveau communautaire et rural","Relais pour atteindre les citoyens ruraux","Atteindre 50000 citoyens ruraux","","CICODEV,développement,communautaire,rural,sensibilisation","{""type"":""social"",""focus"":""rural"",""target"":""50000""}"
act_soc_028,Acteurs Sociaux,Engagement Communautaire,FONGS,"Fédération des ONG du Sénégal","Coordination des ONG et sensibilisation rurale","Mobiliser les communautés rurales","Atteindre 50000 citoyens ruraux","","FONGS,ONG,rural,coordination,communautaire","{""type"":""social"",""focus"":""rural"",""target"":""50000"",""role"":""coordination""}"
act_soc_029,Acteurs Sociaux,Engagement Communautaire,Mozdahir International,"Organisation de sensibilisation et plaidoyer","Sensibiliser au niveau communautaire","Promouvoir les civic tech en milieu rural","Atteindre 50000 citoyens ruraux","","Mozdahir,sensibilisation,plaidoyer,communautaire,civic tech","{""type"":""social"",""focus"":""rural"",""target"":""50000""}"
act_soc_030,Acteurs Sociaux,Innovation Locale,Banlieue Hub,"Pôle d'innovation pour les zones périurbaines","Lutter contre l'accès inégal aux infrastructures dans les zones périurbaines","Animer des campagnes et produire des médias citoyens","","","Banlieue Hub,périurbain,innovation,campagnes,médias citoyens","{""type"":""social"",""geographic"":""périurbain"",""focus"":""inclusion""}"
act_soc_031,Acteurs Sociaux,Innovation Locale,Declic,"Initiative d'innovation sociale locale","Promouvoir l'innovation dans les zones défavorisées","Campagnes de sensibilisation et podcasts","","","Declic,innovation,social,sensibilisation,podcasts","{""type"":""social"",""focus"":""innovation locale""}"
act_soc_032,Acteurs Sociaux,Innovation Locale,Polaris Asso,"Association d'innovation et d'engagement citoyen","Démocratiser la culture civique numérique","Production de podcasts et médias citoyens","","","Polaris,innovation,engagement citoyen,podcasts,culture numérique","{""type"":""social"",""focus"":""culture civique""}"
act_soc_033,Acteurs Sociaux,Innovation Locale,PWA,"Progressive Web Apps community","Promouvoir les technologies web accessibles","Développer des solutions web accessibles pour les citoyens","","","PWA,web,technologies,accessibilité,communauté","{""type"":""social"",""focus"":""technologies web""}"